"Erlotinib","AZD6244","PD_0325901"
0.9836,2.0402,2.5424
0.2845,1.0501,1.6464
2.1105,0.1921,1.9335
0.7703,0.08227,0.5862
1.55,0.3191,0.3991
0.9731,3.1061,3.742
0.4664,0.4508,1.0033
1.4667,1.2877,1.4853
0.3023,0.2195,0.04356
1.2624,0.6335,1.9066
1.3994,1.3876,2.7093
1.0717,1.3015,1.5302
1.0643,0.7485,1.4584
0.3904,0.4134,0.01169
0.7528,0.9039,1.719
0.26,0.5019,0.16
0.3233,0.2497,0.7033
0.4374,1.1769,1.6776
1.0477,0.4429,0.005301
0.09979,2.4416,2.7549
0,1.3771,1.7369
0.4793,1.76,1.5646
0.3804,4.2582,4.9922
1.5967,2.6515,4.8546
0.8666,2.0438,2.6236
1.5519,1.1293,1.5501
0.2374,4.9654,6.4385
0.0005163,0,0.1658
0.05463,0.7299,2.0873
0.3573,0.5816,0.3616
0.2684,0.6353,0.751
1.1964,0.7065,0.8343
0.03477,0.3868,0.3595
0.2052,3.0278,4.4123
0.4275,0.8398,0.8916
0.1473,0,0.9213
1.8648,0.9323,1.5386
1.239,1.2882,2.2155
0.3546,1.6161,3.3323
0.49,3.391,5.1399
0,0.4372,0.1012
0.002914,0.3584,0.9748
0.9432,0.5816,1.4506
0.6176,0.314,0.6229
1.5436,0.9563,1.4756
0.1603,0.2346,0.6005
1.1808,3.026,5.2407
0.07553,2.824,3.7488
1.1327,0.2098,0.249
0.007088,0.3342,0
0.18,1.5757,2.7494
0.3438,0.5792,0.777
0.3761,0.00429,0.899
0,0.2843,0.01472
0.3782,2.179,2.9593
1.5452,1.4634,1.74
2.0672,2.892,3.6304
0.2041,0.1858,0.5833
0.2684,0.1261,0.6039
0.3184,1.2301,2.492
0.662,0.08808,0.6409
0.06946,0.4517,0
0.6025,0.1612,0.8311
0.67,1.0545,0.351
0.7121,3.1961,2.7295
0.1102,1.3757,1.4276
1.1779,0.4363,0.1421
1.1241,2.526,3.2706
0.2836,0.486,0.3876
0.1776,0.5965,0.1998
1.6905,1.2459,1.5472
1.4163,2.263,2.844
0.04829,1.2459,1.7867
0.6008,1.076,0.8604
1.3557,0.3713,0.0898
0.2825,0.5348,0.4047
2.2235,3.1254,3.8767
1.42,1.2609,2.3507
0.1312,0.333,0.3607
0.5767,0.6057,0.92
0.2512,0.7937,2.7425
0.4024,1.1445,1.1635
1.4395,0.08598,1.8229
0.4244,2.2654,3.546
0.3705,1.3191,1.4783
0.4621,0.4696,1.2184
0.6598,1.9691,2.6131
0.1764,0.3972,1.0669
